p= -103 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -102 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -101 divFloor(p, sc)= -2 divCeil(p, sc)= -1
p= -100 divFloor(p, sc)= -1 divCeil(p, sc)= -1
p= -99 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -98 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -97 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -96 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -95 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -94 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -93 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -92 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -91 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -90 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -89 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -88 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -87 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -86 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -85 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -84 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -83 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -82 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -81 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -80 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -79 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -78 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -77 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -76 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -75 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -74 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -73 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -72 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -71 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -70 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -69 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -68 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -67 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -66 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -65 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -64 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -63 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -62 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -61 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -60 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -59 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -58 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -57 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -56 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -55 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -54 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -53 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -52 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -51 divFloor(p, sc)= -1 divCeil(p, sc)= 0
